Label,TRACK_ID,NUMBER_SPOTS,NUMBER_GAPS,LONGEST_GAP,NUMBER_SPLITS,NUMBER_MERGES,NUMBER_COMPLEX,TRACK_DURATION,TRACK_START,TRACK_STOP,TRACK_DISPLACEMENT,TRACK_INDEX,TRACK_X_LOCATION,TRACK_Y_LOCATION,TRACK_Z_LOCATION,TRACK_MEAN_SPEED,TRACK_MAX_SPEED,TRACK_MIN_SPEED,TRACK_MEDIAN_SPEED,TRACK_STD_SPEED,TRACK_MEAN_QUALITY,TRACK_MAX_QUALITY,TRACK_MIN_QUALITY,TRACK_MEDIAN_QUALITY,TRACK_STD_QUALITY
Track_0,0,4,0,0,0,0,0,3,0,3,0.173,0,36.073,21.552,0,0.093,0.167,0.046,0.066,0.065,2283.650,2854.615,1649.296,2366.434,428.846
Track_1,1,8,0,0,0,0,0,7,0,7,0.073,1,6.163,20.947,0,0.095,0.227,0.040,0.078,0.062,2297.836,3032.384,1680.399,2329.593,505.378
Track_2,2,9,0,0,0,0,0,8,0,8,0.070,2,45.518,20.742,0,0.084,0.129,0.058,0.082,0.022,2426.734,3112.191,1649.823,2523.271,506.799
Track_3,3,5,0,0,0,0,0,4,2,6,0.085,3,46.597,18.115,0,0.217,0.377,0.118,0.226,0.116,1831.800,2322.194,1539.766,1737.928,300.972
Track_4,4,10,0,0,0,0,0,9,0,9,0.041,4,25.907,25.346,0,0.084,0.150,0.012,0.097,0.042,2225.731,3118.837,1660.654,2228.100,377.038
Track_5,5,2,0,0,0,0,0,1,2,3,0.064,5,18.818,25.063,0,0.064,0.064,0.064,0.064,NaN,2044.557,2073.275,2015.839,2073.275,28.718
Track_6,6,4,0,0,0,0,0,3,0,3,0.047,6,7.289,23.912,0,0.081,0.106,0.059,0.078,0.024,2477.152,2821.792,2185.532,2486.998,227.963
Track_7,7,8,0,0,0,0,0,7,0,7,0.262,7,22.991,23.918,0,0.136,0.364,0.044,0.081,0.111,2860.115,4000.987,1626.365,3003.634,834.822
Track_8,8,6,0,0,0,0,0,5,0,5,0.236,8,29.585,23.208,0,0.148,0.218,0.062,0.170,0.070,2248.330,2740.200,1842.824,2345.676,308.507
Track_9,9,5,0,0,0,0,0,4,0,4,0.043,9,18.493,23.039,0,0.092,0.125,0.055,0.110,0.032,1985.078,2305.116,1713.685,1909.831,217.142
Track_10,10,9,0,0,0,0,0,8,0,8,0.087,10,22.579,21.632,0,0.089,0.154,0.046,0.086,0.041,2299.996,3126.472,1776.627,2203.626,435.403
Track_11,11,14,0,0,0,0,0,13,0,13,0.085,11,26.776,14.309,0,0.075,0.126,0.043,0.075,0.021,2352.769,2983.534,1756.640,2441.778,341.092
Track_12,12,4,0,0,0,0,0,3,0,3,0.051,12,11.805,12.786,0,0.162,0.203,0.142,0.142,0.035,2566.703,3395.194,2215.216,2405.254,483.627
Track_13,13,11,0,0,0,0,0,10,1,11,0.172,13,34.047,12.369,0,0.107,0.250,0.042,0.096,0.065,2019.729,2657.319,1684.625,1948.823,307.486
Track_14,14,5,0,0,0,0,0,4,0,4,0.332,14,25.693,12.177,0,0.145,0.326,0.048,0.149,0.129,2296.305,3039.604,1585.600,2316.581,462.463
Track_15,15,7,0,0,0,0,0,6,0,6,0.151,15,43.072,11.627,0,0.083,0.186,0.007,0.108,0.067,2856.083,4334.817,1559.005,2349.280,1074.738
Track_16,16,22,0,0,0,0,0,21,2,23,0.105,16,35.473,11.314,0,0.105,0.393,0.017,0.064,0.096,2543.890,3590.708,1744.012,2566.469,526.199
Track_17,17,8,0,0,0,0,0,7,0,7,0.078,17,2.660,11.336,0,0.049,0.135,0.012,0.036,0.040,2411.101,3148.509,1797.333,2427.656,451.329
Track_18,18,6,0,0,0,0,0,5,0,5,0.110,18,17.301,10.562,0,0.083,0.122,0.052,0.087,0.027,2119.256,2433.548,1834.808,2182.913,199.591
Track_19,19,7,0,0,0,0,0,6,0,6,0.046,19,32.050,16.005,0,0.100,0.150,0.028,0.125,0.044,2206.872,2594.583,1745.777,2285.363,271.351
