Label,TRACK_ID,NUMBER_SPOTS,NUMBER_GAPS,LONGEST_GAP,NUMBER_SPLITS,NUMBER_MERGES,NUMBER_COMPLEX,TRACK_DURATION,TRACK_START,TRACK_STOP,TRACK_DISPLACEMENT,TRACK_INDEX,TRACK_X_LOCATION,TRACK_Y_LOCATION,TRACK_Z_LOCATION,TRACK_MEAN_SPEED,TRACK_MAX_SPEED,TRACK_MIN_SPEED,TRACK_MEDIAN_SPEED,TRACK_STD_SPEED,TRACK_MEAN_QUALITY,TRACK_MAX_QUALITY,TRACK_MIN_QUALITY,TRACK_MEDIAN_QUALITY,TRACK_STD_QUALITY
Track_0,0,5,0,0,0,0,0,0.400,0.100,0.500,0.108,0,22.311,22.173,0,1.076,1.157,0.962,1.116,0.084,2142.675,2652.048,1798.371,2099.170,313.412
Track_1,1,5,0,0,0,0,0,0.400,0.100,0.500,0.064,1,35.051,21.723,0,0.764,1.133,0.392,0.984,0.351,2139.183,2435.339,1752.020,2074.919,258.223
Track_2,2,2,0,0,0,0,0,0.100,0.200,0.300,0.091,2,3.421,13.339,0,0.915,0.915,0.915,0.915,NaN,2071.660,2331.811,1811.509,2331.811,260.151
Track_3,3,4,0,0,0,0,0,0.300,0.000,0.300,0.071,3,29.520,19.141,0,1.132,1.352,0.966,1.077,0.199,1990.250,2385.027,1718.088,2078.275,265.537
Track_4,4,5,0,0,0,0,0,0.400,0.000,0.400,0.067,4,36.818,14.741,0,1.345,1.815,1.160,1.228,0.314,2005.502,2454.957,1810.021,1867.155,240.314
Track_5,5,3,0,0,0,0,0,0.200,0.200,0.400,0.017,5,19.103,10.816,0,0.702,0.736,0.668,0.736,0.048,2055.388,2282.888,1764.180,2119.095,216.500
Track_6,6,4,0,0,0,0,0,0.300,0.000,0.300,0.028,6,44.415,9.617,0,0.435,0.706,0.200,0.399,0.255,2313.438,3110.079,1769.679,2318.162,499.173
Track_7,7,2,0,0,0,0,0,0.100,0.200,0.300,0.070,7,49.306,12.029,0,0.703,0.703,0.703,0.703,NaN,1888.137,1892.481,1883.793,1892.481,4.344
Track_8,8,2,0,0,0,0,0,0.100,0.200,0.300,0.067,8,31.903,43.561,0,0.667,0.667,0.667,0.667,NaN,2160.092,2323.493,1996.692,2323.493,163.400
Track_9,9,4,0,0,0,0,0,0.300,0.200,0.500,0.071,9,36.190,11.575,0,0.557,0.922,0.196,0.553,0.363,2230.557,2687.804,1939.158,2298.606,297.206
Track_10,10,3,0,0,0,0,0,0.200,0.100,0.300,0.132,10,31.221,35.524,0,1.940,2.455,1.425,2.455,0.729,2195.082,2263.366,2159.904,2161.975,48.292
Track_11,11,4,0,0,0,0,0,0.300,0.000,0.300,0.120,11,31.925,3.978,0,1.290,1.867,0.560,1.444,0.667,2162.236,3099.987,1729.292,2040.062,554.110
Track_12,12,3,0,0,0,0,0,0.200,0.200,0.400,0.067,12,26.375,37.726,0,0.975,1.251,0.700,1.251,0.390,2005.173,2305.149,1830.295,1880.074,213.087
Track_13,13,4,0,0,0,0,0,0.300,0.100,0.400,0.154,13,14.994,9.402,0,0.829,1.058,0.638,0.793,0.213,2209.569,2897.316,1705.675,2150.549,431.848
Track_14,14,4,0,0,0,0,0,0.300,0.200,0.500,0.114,14,16.376,0.732,0,0.803,0.956,0.658,0.796,0.149,2170.082,2410.158,1961.966,2277.395,181.564
Track_15,15,4,0,0,0,0,0,0.300,0.000,0.300,0.067,15,11.058,33.825,0,0.641,0.778,0.451,0.694,0.170,2946.390,3843.423,2347.090,3071.050,582.620
