Label,TRACK_ID,NUMBER_SPOTS,NUMBER_GAPS,LONGEST_GAP,NUMBER_SPLITS,NUMBER_MERGES,NUMBER_COMPLEX,TRACK_DURATION,TRACK_START,TRACK_STOP,TRACK_DISPLACEMENT,TRACK_INDEX,TRACK_X_LOCATION,TRACK_Y_LOCATION,TRACK_Z_LOCATION,TRACK_MEAN_SPEED,TRACK_MAX_SPEED,TRACK_MIN_SPEED,TRACK_MEDIAN_SPEED,TRACK_STD_SPEED,TRACK_MEAN_QUALITY,TRACK_MAX_QUALITY,TRACK_MIN_QUALITY,TRACK_MEDIAN_QUALITY,TRACK_STD_QUALITY
Track_0,0,6,0,0,0,0,0,0.500,0.000,0.500,0.156,0,0.972,1.792,0,0.925,1.354,0.437,0.917,0.383,1871.017,2315.664,1540.617,1903.227,243.553
Track_1,1,7,0,0,0,0,0,0.600,0.000,0.600,0.054,1,27.305,47.969,0,1.079,2.163,0.651,0.900,0.566,2042.322,2872.583,1637.410,1809.781,458.286
Track_2,2,4,0,0,0,0,0,0.300,0.100,0.400,0.266,2,39.154,47.108,0,1.015,1.817,0.597,0.629,0.695,1928.856,2252.316,1525.839,2063.052,268.348
Track_3,3,4,0,0,0,0,0,0.300,0.100,0.400,0.152,3,22.129,48.347,0,0.641,0.957,0.435,0.529,0.278,2000.758,2354.505,1788.489,2013.605,220.327
Track_4,4,3,0,0,0,0,0,0.200,0.000,0.200,0.057,4,6.026,48.089,0,1.157,1.287,1.027,1.287,0.184,2330.907,3006.634,1988.065,1998.023,477.828
Track_5,5,3,0,0,0,0,0,0.200,0.000,0.200,0.084,5,13.309,42.591,0,0.956,1.232,0.680,1.232,0.390,2146.589,2388.843,1959.915,2091.011,179.465
Track_6,6,3,0,0,0,0,0,0.200,0.000,0.200,0.090,6,14.503,45.482,0,0.516,0.747,0.285,0.747,0.327,2079.145,2164.895,2014.567,2057.973,63.171
Track_7,7,3,0,0,0,0,0,0.200,0.100,0.300,0.182,7,50.432,42.921,0,1.313,2.160,0.466,2.160,1.198,1901.088,2069.537,1815.463,1818.265,119.116
Track_8,8,9,0,0,0,0,0,0.800,0.000,0.800,0.135,8,38.830,39.284,0,1.000,1.698,0.230,1.261,0.558,1926.988,2278.822,1558.458,1921.298,229.174
Track_9,9,16,0,0,0,0,0,1.500,0.000,1.500,0.062,9,26.997,37.972,0,0.647,1.287,0.215,0.571,0.293,2265.720,2971.849,1544.281,2379.574,382.582
Track_10,10,8,0,0,0,0,0,0.700,0.000,0.700,0.057,10,11.801,40.088,0,0.596,1.223,0.323,0.378,0.342,2207.804,2921.824,1836.081,2199.988,329.533
Track_11,11,6,0,0,0,0,0,0.500,0.000,0.500,0.013,11,17.019,39.895,0,0.810,1.708,0.062,0.780,0.695,2450.666,3108.325,1688.813,2588.646,448.927
Track_12,12,34,0,0,0,0,0,3.300,0.000,3.300,0.169,12,10.144,34.836,0,1.149,2.112,0.197,0.996,0.467,2229.096,3321.883,1593.190,2211.057,423.842
Track_13,13,16,0,0,0,0,0,1.500,0.000,1.500,0.169,13,0.529,34.990,0,0.802,1.376,0.192,0.979,0.427,2197.681,3110.619,1522.114,2175.937,424.030
Track_14,14,3,0,0,0,0,0,0.200,0.100,0.300,0.144,14,44.252,37.659,0,0.889,1.285,0.493,1.285,0.560,1883.388,2321.626,1656.157,1672.380,309.952
Track_15,15,4,0,0,0,0,0,0.300,0.100,0.400,0.098,15,18.190,35.621,0,0.568,0.698,0.350,0.655,0.190,2006.814,2206.870,1690.282,2148.814,200.643
Track_16,16,10,0,0,0,0,0,0.900,0.000,0.900,0.108,16,12.245,28.355,0,1.658,2.860,1.035,1.161,0.789,2333.880,2861.598,1755.063,2539.526,395.655
Track_17,17,3,0,0,0,0,0,0.200,0.000,0.200,0.096,17,15.076,32.586,0,0.555,0.779,0.330,0.779,0.317,2512.278,2673.251,2200.086,2663.496,220.789
Track_18,18,9,0,0,0,0,0,0.800,0.000,0.800,0.094,18,24.109,26.107,0,0.853,1.935,0.252,0.809,0.571,2257.822,2518.306,1924.617,2334.103,218.968
Track_19,19,8,0,0,0,0,0,0.700,0.100,0.800,0.101,19,16.593,27.557,0,0.633,1.294,0.168,0.525,0.426,2530.202,3820.542,2065.150,2434.742,520.518
Track_20,20,6,0,0,0,0,0,0.500,0.000,0.500,0.065,20,21.759,23.969,0,0.639,1.107,0.235,0.693,0.344,2135.699,2571.201,1531.614,2560.849,441.196
Track_21,21,31,0,0,0,0,0,3.000,0.000,3.000,0.296,21,14.041,23.828,0,0.786,2.091,0.092,0.695,0.453,2181.607,3180.887,1548.222,2080.702,390.073
Track_22,22,8,0,0,0,0,0,0.700,0.100,0.800,0.099,22,23.604,20.109,0,0.775,1.280,0.281,0.708,0.313,2701.491,3612.523,2078.717,2426.224,550.897
Track_23,23,7,0,0,0,0,0,0.600,0.000,0.600,0.041,23,45.601,19.859,0,0.967,1.279,0.575,1.042,0.271,2135.938,2963.589,1645.780,2065.792,421.915
Track_24,24,8,0,0,0,0,0,0.700,0.000,0.700,0.053,24,15.018,22.821,0,1.102,1.403,0.733,1.138,0.202,2177.060,2511.885,1842.200,2210.943,272.298
Track_25,25,8,0,0,0,0,0,0.700,0.000,0.700,0.068,25,33.619,20.711,0,0.802,1.292,0.426,0.883,0.326,2221.416,2725.143,1709.283,2189.356,358.948
Track_26,26,9,0,0,0,0,0,0.800,0.100,0.900,0.223,26,23.806,18.511,0,0.784,2.237,0.180,0.670,0.620,2350.035,2985.610,1699.548,2332.576,409.288
Track_27,27,6,0,0,0,0,0,0.500,0.000,0.500,0.065,27,4.910,16.128,0,1.061,1.260,0.576,1.241,0.297,1916.866,2282.325,1621.487,1846.324,250.413
Track_28,28,15,0,0,0,0,0,1.400,0.000,1.400,0.096,28,7.868,19.908,0,0.767,1.373,0.125,0.926,0.450,2522.860,3728.973,1885.190,2302.102,544.143
Track_29,29,4,0,0,0,0,0,0.300,0.000,0.300,0.137,29,49.677,15.171,0,1.092,1.524,0.593,1.160,0.469,2108.143,2544.059,1669.147,2198.405,315.630
Track_30,30,6,0,0,0,0,0,0.500,0.000,0.500,0.050,30,6.592,14.947,0,1.057,1.684,0.191,1.059,0.566,2148.152,2678.986,1511.450,2322.192,463.870
Track_31,31,16,0,0,0,0,0,1.500,0.000,1.500,0.027,31,38.170,10.799,0,0.596,0.986,0.350,0.488,0.220,3704.671,4805.636,2259.006,3650.653,660.948
Track_32,32,4,0,0,0,0,0,0.300,0.000,0.300,0.144,32,31.249,10.637,0,0.602,0.758,0.442,0.606,0.158,2300.531,2699.858,1950.745,2406.792,281.682
Track_33,33,3,0,0,0,0,0,0.200,0.000,0.200,0.074,33,48.250,11.449,0,0.712,0.997,0.427,0.997,0.403,1892.655,2167.085,1588.653,1922.226,237.068
Track_34,34,11,0,0,0,0,0,1.000,0.000,1.000,0.121,34,6.243,10.898,0,0.747,1.470,0.215,0.645,0.386,2496.465,3136.814,1552.337,2447.943,474.714
Track_35,35,9,0,0,0,0,0,0.800,0.000,0.800,0.193,35,22.793,6.905,0,0.711,1.123,0.248,0.743,0.269,2579.476,3268.347,1509.802,2693.772,513.991
Track_36,36,23,0,0,0,0,0,2.200,0.000,2.200,0.119,36,38.636,6.291,0,0.747,1.685,0.147,0.750,0.380,2336.746,3075.832,1594.850,2208.148,353.236
Track_37,37,2,0,0,0,0,0,0.100,0.100,0.200,0.036,37,10.145,9.140,0,0.360,0.360,0.360,0.360,NaN,2139.684,2334.266,1945.102,2334.266,194.582
Track_38,38,15,0,0,0,0,0,1.400,0.000,1.400,0.090,38,42.120,7.839,0,0.940,1.905,0.217,1.007,0.477,2734.769,3757.192,2091.688,2651.602,435.252
Track_39,39,9,0,0,0,0,0,0.800,0.000,0.800,0.048,39,16.784,4.946,0,0.821,1.264,0.219,0.803,0.332,2653.263,3458.475,2338.777,2439.858,405.924
Track_40,40,7,0,0,0,0,0,0.600,0.000,0.600,0.361,40,25.596,5.650,0,1.242,2.044,0.454,1.154,0.633,2584.846,3042.316,2041.437,2699.210,385.616
Track_41,41,26,0,0,0,0,0,2.500,0.000,2.500,0.044,41,5.569,5.060,0,0.815,1.784,0.122,0.715,0.474,2592.302,3674.761,1586.611,2645.794,484.668
Track_42,42,21,0,0,0,0,0,2.000,0.000,2.000,0.178,42,5.065,3.026,0,0.708,1.581,0.150,0.664,0.367,2583.664,3311.855,1767.844,2478.720,438.271
Track_43,43,12,0,0,0,0,0,1.100,0.000,1.100,0.099,43,15.798,2.351,0,1.345,2.980,0.605,1.208,0.775,2365.248,3080.640,1780.053,2255.309,413.618
Track_44,44,3,0,0,0,0,0,0.200,0.000,0.200,0.068,44,50.609,4.628,0,0.564,0.869,0.259,0.869,0.431,2356.719,2942.111,1798.979,2329.068,467.091
Track_45,45,14,0,0,0,0,0,1.300,0.000,1.300,0.109,45,18.494,4.384,0,0.786,1.205,0.286,0.805,0.257,2182.869,3022.219,1553.666,2072.480,375.710
Track_46,46,2,0,0,0,0,0,0.100,0.200,0.300,0.163,46,41.132,50.035,0,1.633,1.633,1.633,1.633,NaN,1772.425,1952.238,1592.612,1952.238,179.813
Track_47,47,6,0,0,0,0,0,0.500,0.200,0.700,0.034,47,47.964,42.879,0,1.046,2.166,0.228,0.600,0.836,2158.856,2313.903,1933.213,2190.039,113.680
Track_48,48,3,0,0,0,0,0,0.200,0.200,0.400,0.137,48,32.470,31.137,0,0.907,1.237,0.577,1.237,0.466,2019.028,2782.522,1605.954,1668.609,540.477
Track_49,49,12,0,0,0,0,0,1.100,0.200,1.300,0.103,49,11.576,25.884,0,1.198,2.287,0.321,1.112,0.652,2205.705,2801.937,1680.516,2190.558,295.890
Track_50,50,3,0,0,0,0,0,0.200,0.200,0.400,0.058,50,28.744,24.350,0,0.800,0.820,0.781,0.820,0.028,1739.023,1817.115,1633.077,1766.878,77.672
Track_51,51,3,0,0,0,0,0,0.200,0.200,0.400,0.017,51,37.678,21.381,0,1.784,1.833,1.736,1.833,0.069,1776.165,1982.814,1591.853,1753.829,160.389
Track_52,52,9,0,0,0,0,0,0.800,0.200,1.000,0.068,52,3.372,8.269,0,0.653,1.217,0.184,0.791,0.347,2356.565,2952.468,1671.950,2418.475,439.183
Track_53,53,32,0,0,0,0,0,3.100,0.300,3.400,0.048,53,15.140,16.014,0,0.864,1.545,0.104,0.896,0.454,2420.751,3542.937,1554.338,2412.490,432.161
Track_54,54,3,0,0,0,0,0,0.200,0.300,0.500,0.065,54,50.675,12.801,0,0.685,0.707,0.662,0.707,0.032,2100.307,2199.299,1937.138,2164.484,116.250
Track_55,55,9,0,0,0,0,0,0.800,0.300,1.100,0.111,55,10.203,11.710,0,1.214,2.406,0.375,1.046,0.678,2071.601,3102.502,1618.984,1971.026,431.581
Track_56,56,3,0,0,0,0,0,0.200,0.300,0.500,0.069,56,40.469,9.208,0,0.405,0.463,0.347,0.463,0.082,2397.187,2631.422,1960.569,2599.568,309.009
Track_57,57,14,0,0,0,0,0,1.300,0.300,1.600,0.038,57,17.955,1.249,0,0.841,2.011,0.324,0.823,0.475,2533.031,3338.402,1899.195,2649.449,443.788
Track_58,58,2,0,0,0,0,0,0.100,0.300,0.400,0.139,58,25.226,46.741,0,1.394,1.394,1.394,1.394,NaN,2194.498,2466.792,1922.204,2466.792,272.294
