Label,TRACK_ID,NUMBER_SPOTS,NUMBER_GAPS,LONGEST_GAP,NUMBER_SPLITS,NUMBER_MERGES,NUMBER_COMPLEX,TRACK_DURATION,TRACK_START,TRACK_STOP,TRACK_DISPLACEMENT,TRACK_INDEX,TRACK_X_LOCATION,TRACK_Y_LOCATION,TRACK_Z_LOCATION,TRACK_MEAN_SPEED,TRACK_MAX_SPEED,TRACK_MIN_SPEED,TRACK_MEDIAN_SPEED,TRACK_STD_SPEED,TRACK_MEAN_QUALITY,TRACK_MAX_QUALITY,TRACK_MIN_QUALITY,TRACK_MEDIAN_QUALITY,TRACK_STD_QUALITY
Track_0,0,18,0,0,0,0,0,17,0,17,0.115,0,4.851,11.268,0,0.083,0.146,0.031,0.080,0.034,1930.803,2933.033,1507.649,1916.679,377.843
Track_1,1,6,0,0,0,0,0,5,0,5,0.103,1,36.913,12.585,0,0.113,0.134,0.066,0.122,0.027,2284.196,2764.633,1802.730,2324.484,284.158
Track_2,2,3,0,0,0,0,0,2,0,2,0.016,2,35.309,10.185,0,0.109,0.117,0.102,0.117,0.011,2531.289,2851.340,2353.688,2388.838,226.765
Track_3,3,2,0,0,0,0,0,1,0,1,0.085,3,9.753,11.021,0,0.085,0.085,0.085,0.085,NaN,2448.255,2643.366,2253.144,2643.366,195.111
Track_4,4,12,0,0,0,0,0,11,0,11,0.088,4,16.179,4.554,0,0.064,0.124,0.020,0.064,0.035,2466.648,3019.829,1746.144,2616.332,427.144
Track_5,5,2,0,0,0,0,0,1,0,1,0.123,5,29.762,5.528,0,0.123,0.123,0.123,0.123,NaN,2620.601,3156.019,2085.183,3156.019,535.418
Track_6,6,7,0,0,0,0,0,6,0,6,0.089,6,16.208,3.580,0,0.081,0.126,0.034,0.090,0.032,2465.908,3009.811,2048.993,2523.898,365.831
Track_7,7,2,0,0,0,0,0,1,0,1,0.046,7,43.785,3.499,0,0.046,0.046,0.046,0.046,NaN,2328.727,2499.343,2158.112,2499.343,170.616
Track_8,8,5,0,0,0,0,0,4,0,4,0.200,8,49.920,0.000,0,0.100,0.100,0.100,0.100,3.553E-15,2543.429,3102.875,2010.082,2492.767,372.756
Track_9,9,4,0,0,0,0,0,3,0,3,0.102,9,41.514,0.968,0,0.090,0.097,0.083,0.088,0.007,2154.723,2253.016,2035.863,2223.905,87.947
Track_10,10,2,0,0,0,0,0,1,0,1,0.200,10,2.700,0.000,0,0.200,0.200,0.200,0.200,NaN,1676.228,1761.008,1591.448,1761.008,84.780
Track_11,11,5,0,0,0,0,0,4,0,4,0.080,11,22.644,49.093,0,0.090,0.108,0.067,0.098,0.017,1953.564,2639.666,1649.164,1906.826,363.050
Track_12,12,2,0,0,0,0,0,1,0,1,0.149,12,28.770,49.479,0,0.149,0.149,0.149,0.149,NaN,1946.796,2284.398,1609.193,2284.398,337.602
Track_13,13,2,0,0,0,0,0,1,0,1,0.046,13,29.675,48.507,0,0.046,0.046,0.046,0.046,NaN,1948.436,2312.214,1584.659,2312.214,363.778
Track_14,14,4,0,0,0,0,0,3,0,3,0.156,14,40.973,49.064,0,0.204,0.290,0.044,0.278,0.139,1672.844,1847.258,1530.823,1749.985,130.900
Track_15,15,2,0,0,0,0,0,1,0,1,0.050,15,35.187,45.108,0,0.050,0.050,0.050,0.050,NaN,2149.925,2374.843,1925.008,2374.843,224.917
Track_16,16,2,0,0,0,0,0,1,0,1,0.133,16,13.181,48.132,0,0.133,0.133,0.133,0.133,NaN,2131.805,2358.602,1905.008,2358.602,226.797
Track_17,17,14,0,0,0,0,0,13,0,13,0.131,17,12.110,44.260,0,0.088,0.144,0.024,0.092,0.036,2244.582,2748.129,1524.538,2215.535,346.488
Track_18,18,4,0,0,0,0,0,3,0,3,0.051,18,29.853,44.857,0,0.055,0.082,0.023,0.059,0.029,2474.957,2946.509,2114.087,2675.644,349.934
Track_19,19,6,0,0,0,0,0,5,0,5,0.037,19,23.033,44.074,0,0.088,0.137,0.027,0.096,0.048,2178.045,2721.598,1527.660,2235.571,357.237
Track_20,20,5,0,0,0,0,0,4,0,4,0.019,20,35.021,42.105,0,0.046,0.066,0.018,0.063,0.023,2085.530,2667.838,1746.542,1994.435,344.899
Track_21,21,8,0,0,0,0,0,7,0,7,0.064,21,15.662,39.641,0,0.095,0.144,0.050,0.094,0.029,2147.351,2451.473,1710.809,2269.542,254.932
Track_22,22,8,0,0,0,0,0,7,0,7,0.102,22,19.800,40.189,0,0.078,0.145,0.026,0.076,0.044,2394.889,2943.468,1821.936,2493.178,356.111
Track_23,23,2,0,0,0,0,0,1,0,1,0.043,23,29.773,38.826,0,0.043,0.043,0.043,0.043,NaN,2127.030,2225.500,2028.560,2225.500,98.470
Track_24,24,2,0,0,0,0,0,1,0,1,0.090,24,7.999,39.544,0,0.090,0.090,0.090,0.090,NaN,2433.621,2537.930,2329.312,2537.930,104.309
Track_25,25,2,0,0,0,0,0,1,0,1,0.129,25,34.464,33.913,0,0.129,0.129,0.129,0.129,NaN,2289.874,2574.876,2004.871,2574.876,285.002
Track_26,26,3,0,0,0,0,0,2,0,2,0.235,26,46.258,35.139,0,0.118,0.171,0.064,0.171,0.076,2103.232,3078.550,1527.877,1703.270,693.361
Track_27,27,9,0,0,0,0,0,8,0,8,0.123,27,38.419,33.424,0,0.088,0.136,0.004,0.099,0.041,1916.130,2374.800,1516.472,1917.767,281.644
Track_28,28,2,0,0,0,0,0,1,0,1,0.040,28,8.438,26.984,0,0.040,0.040,0.040,0.040,NaN,2477.185,3094.085,1860.285,3094.085,616.900
Track_29,29,4,0,0,0,0,0,3,0,3,0.039,29,48.731,31.460,0,0.119,0.196,0.040,0.121,0.078,1989.153,2259.115,1669.234,2017.577,210.059
Track_30,30,2,0,0,0,0,0,1,0,1,0.179,30,11.060,25.941,0,0.179,0.179,0.179,0.179,NaN,2030.348,2286.264,1774.432,2286.264,255.916
Track_31,31,2,0,0,0,0,0,1,0,1,0.151,31,1.943,22.937,0,0.151,0.151,0.151,0.151,NaN,2609.333,3163.694,2054.973,3163.694,554.361
Track_32,32,7,0,0,0,0,0,6,0,6,0.225,32,30.966,19.948,0,0.157,0.238,0.048,0.199,0.075,2049.041,2488.914,1583.729,1982.434,267.786
Track_33,33,3,0,0,0,0,0,2,0,2,0.187,33,50.337,20.134,0,0.120,0.151,0.088,0.151,0.045,1978.130,2005.760,1926.575,2002.055,36.486
Track_34,34,3,0,0,0,0,0,2,0,2,0.219,34,23.818,17.771,0,0.157,0.241,0.072,0.241,0.119,2650.689,4170.154,1884.698,1897.214,1074.436
Track_35,35,4,0,0,0,0,0,3,0,3,0.025,35,22.608,18.417,0,0.100,0.120,0.071,0.108,0.026,2039.531,2262.195,1596.629,2191.715,261.502
Track_36,36,9,0,0,0,0,0,8,0,8,0.160,36,32.338,17.219,0,0.064,0.110,0.008,0.087,0.038,2353.994,3254.607,1555.247,2350.791,510.801
Track_37,37,2,0,0,0,0,0,1,0,1,0.078,37,8.186,17.710,0,0.078,0.078,0.078,0.078,NaN,2036.743,2071.905,2001.581,2071.905,35.162
Track_38,38,5,0,0,0,0,0,4,0,4,0.112,38,42.138,17.090,0,0.121,0.171,0.053,0.170,0.059,2177.170,2577.337,1684.884,2206.884,318.428
Track_39,39,2,0,0,0,0,0,1,0,1,0.040,39,14.893,12.667,0,0.040,0.040,0.040,0.040,NaN,2327.108,2879.039,1775.177,2879.039,551.931
Track_40,40,2,0,0,0,0,0,1,1,2,0.186,40,18.319,40.546,0,0.186,0.186,0.186,0.186,NaN,2126.469,2368.753,1884.185,2368.753,242.284
Track_41,41,2,0,0,0,0,0,1,1,2,0.088,41,45.909,36.534,0,0.088,0.088,0.088,0.088,NaN,1826.919,1992.681,1661.158,1992.681,165.762
Track_42,42,4,0,0,0,0,0,3,1,4,0.078,42,48.338,36.070,0,0.159,0.203,0.074,0.201,0.074,1989.825,2398.883,1589.136,2293.903,359.849
Track_43,43,2,0,0,0,0,0,1,1,2,0.043,43,39.369,31.686,0,0.043,0.043,0.043,0.043,NaN,1554.098,1607.846,1500.351,1607.846,53.748
Track_44,44,3,0,0,0,0,0,2,1,3,0.091,44,28.182,29.454,0,0.065,0.083,0.048,0.083,0.024,2207.906,2760.334,1635.328,2228.057,459.503
Track_45,45,4,0,0,0,0,0,3,1,4,0.114,45,43.021,23.514,0,0.073,0.097,0.061,0.061,0.021,2130.585,2943.005,1782.973,2013.253,478.374
Track_46,46,2,0,0,0,0,0,1,1,2,0.348,46,27.514,18.729,0,0.348,0.348,0.348,0.348,NaN,1898.919,2077.084,1720.753,2077.084,178.166
Track_47,47,7,0,0,0,0,0,6,1,7,0.027,47,38.128,16.337,0,0.070,0.112,0.039,0.055,0.032,2230.881,2692.663,1712.597,2217.120,304.758
Track_48,48,6,0,0,0,0,0,5,1,6,0.128,48,45.821,15.550,0,0.112,0.144,0.083,0.122,0.026,1966.832,2375.491,1590.699,1983.436,249.516
Track_49,49,4,0,0,0,0,0,3,1,4,0.133,49,20.770,12.491,0,0.082,0.098,0.073,0.074,0.014,2328.689,2790.436,1765.786,2664.302,417.635
Track_50,50,11,0,0,0,0,0,10,1,11,0.096,50,6.761,8.401,0,0.095,0.158,0.015,0.114,0.049,2391.073,2783.245,1799.942,2412.402,314.476
Track_51,51,6,0,0,0,0,0,5,2,7,0.091,51,11.898,45.679,0,0.083,0.157,0.029,0.091,0.052,2032.547,2301.061,1595.411,2128.309,231.680
Track_52,52,2,0,0,0,0,0,1,2,3,0.051,52,40.340,43.796,0,0.051,0.051,0.051,0.051,NaN,2161.515,2493.452,1829.579,2493.452,331.936
Track_53,53,2,0,0,0,0,0,1,2,3,0.059,53,28.210,28.539,0,0.059,0.059,0.059,0.059,NaN,1944.551,2293.871,1595.231,2293.871,349.320
Track_54,54,4,0,0,0,0,0,3,2,5,0.049,54,49.274,21.641,0,0.097,0.107,0.089,0.094,0.009,2004.431,2308.952,1716.395,2007.085,209.804
Track_55,55,2,0,0,0,0,0,1,2,3,0.131,55,27.956,17.416,0,0.131,0.131,0.131,0.131,NaN,3526.915,4241.667,2812.164,4241.667,714.751
Track_56,56,5,0,0,0,0,0,4,2,6,0.059,56,46.601,11.800,0,0.086,0.118,0.051,0.087,0.028,2387.590,3062.191,2010.692,2253.459,379.464
Track_57,57,2,0,0,0,0,0,1,2,3,0.073,57,26.716,10.010,0,0.073,0.073,0.073,0.073,NaN,2552.277,2667.902,2436.652,2667.902,115.625
Track_58,58,6,0,0,0,0,0,5,2,7,0.172,58,31.195,2.178,0,0.087,0.118,0.041,0.101,0.031,2270.242,2774.733,1663.967,2584.436,457.178
Track_59,59,2,0,0,0,0,0,1,3,4,0.039,59,17.981,15.995,0,0.039,0.039,0.039,0.039,NaN,2091.689,2624.291,1559.087,2624.291,532.602
Track_60,60,7,0,0,0,0,0,6,3,9,0.124,60,7.704,6.865,0,0.115,0.172,0.052,0.162,0.056,2433.973,2719.436,2033.593,2469.899,194.038
Track_61,61,4,0,0,0,0,0,3,3,6,0.223,61,43.272,6.794,0,0.089,0.207,0.002,0.060,0.106,2198.512,2355.555,2047.018,2245.615,114.678
Track_62,62,2,0,0,0,0,0,1,3,4,0.123,62,13.165,48.165,0,0.123,0.123,0.123,0.123,NaN,2690.473,3330.026,2050.919,3330.026,639.554
